,Unnamed: 0,ACTIVITY_NR,REPORTING_ID,STATE_FLAG,ESTAB_NAME,SITE_ADDRESS,SITE_CITY,SITE_STATE,SITE_ZIP,OWNER_TYPE,OWNER_CODE,ADV_NOTICE,SAFETY_HLTH,SIC_CODE,NAICS_CODE,INSP_TYPE,INSP_SCOPE,WHY_NO_INSP,UNION_STATUS,SAFETY_MANUF,SAFETY_CONST,SAFETY_MARIT,HEALTH_MANUF,HEALTH_CONST,HEALTH_MARIT,MIGRANT,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,HOST_EST_KEY,NR_IN_ESTAB,OPEN_DATE,CASE_MOD_DATE,CLOSE_CONF_DATE,CLOSE_CASE_DATE,LOAD_DT,RNUM,YEAR,INSP_DESC
69,69,343987251,524500,,"CONSTRUCTION MANAGEMENT COMPANY, LLC",1100 W LINCOLNSHIRE BLVD.,SPRINGFIELD,IL,62703,A,,N,S,,236220,B,B,I,B,,,,,,,,5635 OSAGE BEACH PKWY.,OSAGE BEACH,MO,65065,HOST_EST_KEY_VALUE,2,2019-05-16,03-DEC-23,16-MAY-19,16-MAY-19,04-DEC-23,70,2019,Complaint
70,70,344033147,524500,,"OGLESBY & OGLESBY GUNMAKERS, INC.",744 W ANDREW RD,SPRINGFIELD,IL,62707,A,,N,H,,332994,H,B,I,B,,,,,,,,744 W ANDREW RD,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,1,2019-05-23,03-DEC-23,23-MAY-19,05-AUG-19,04-DEC-23,71,2019,Planned
71,71,344049135,524500,,WENCESLAO GONZALES,1333 WABASH,SPRINGFIELD,IL,62704,A,,N,S,,238140,B,B,I,B,,,,,,,,4063 ELLISTON RD,MEMPHIS,TN,38111,HOST_EST_KEY_VALUE,4,2019-06-07,03-DEC-23,07-JUN-19,10-JUN-19,04-DEC-23,72,2019,Complaint
72,72,344063383,524500,,TOP IT ALL ROOFING,5370 OLD JACKSONVILLE RD.,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,D,C,B,,,,,,,,3209 RIDGEWOOD AVE,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,0,2019-06-07,03-DEC-23,07-JUN-19,10-JUN-19,04-DEC-23,73,2019,Complaint
73,73,344113766,524500,,UNKNOWN CONTRACTOR,1123 N FRANKLIN AVE,SPRINGFIELD,IL,62701,A,,N,S,,238160,C,D,C,B,,,,,,,,1123 N FRANKLIN AVE,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,0,2019-06-14,03-DEC-23,14-JUN-19,27-JUN-19,04-DEC-23,74,2019,Referral
74,74,344109277,524500,,"THORNBURGH ABATEMENT, INC.",701 N FIRST STREET,SPRINGFIELD,IL,62781,A,,N,H,,562910,C,B,I,A,,,,,,,,6280 KNOX DRIVE,SAINT LOUIS,MO,63101,HOST_EST_KEY_VALUE,16,2019-06-26,03-DEC-23,26-JUN-19,20-JUL-21,04-DEC-23,75,2019,Referral
75,75,344113709,524500,,BOBBY SHAW BUILDING AND REMODELING INC.,1133 W. JEFFERSON ST. ACROSS FROM CASEY'S,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,D,C,B,,,,,,,,2466 GLENCOE DR,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,0,2019-06-27,03-DEC-23,27-JUN-19,02-JUL-19,04-DEC-23,76,2019,Complaint
76,76,344113840,524500,,DAN GARREN,1531 WABASH AVE,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,B,I,B,,,,,,,,1901 S SPRESSER ST,TAYLORVILLE,IL,62568,HOST_EST_KEY_VALUE,6,2019-06-27,03-DEC-23,27-JUN-19,15-JUL-19,04-DEC-23,77,2019,Complaint
77,77,344138672,524500,,"CERTIFIED TANK & MANUFACTURING, LLC.",2500 RICHARDS LN.,SPRINGFIELD,IL,62702,A,,N,H,,332420,H,B,I,B,,,,,,,,2500 RICHARDS LN,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,31,2019-07-09,03-DEC-23,09-JUL-19,13-JAN-20,04-DEC-23,78,2019,Planned
78,78,344148176,524500,,"BLACKHAWK ROOFING, LLC",2811 W LAWRENCE AVE,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,D,C,B,,,,,,,,4208 SOUTHWOODS ROAD,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,0,2019-07-12,03-DEC-23,12-JUL-19,12-JUL-19,04-DEC-23,79,2019,Complaint
79,79,344171913,524500,,"GALASSI MASONRY CONTRACTORS, INC.",2571 S KOKE MILL RD.,SPRINGFIELD,IL,62704,A,,N,S,,238140,B,B,I,B,,,,,,,,2464 PEERLESS MINE RD.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,7,2019-07-22,03-DEC-23,22-JUL-19,31-JUL-21,04-DEC-23,80,2019,Complaint
80,80,344171442,524500,,UNKNOWN CONTRACTOR,2918 KIPLING CT,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,D,C,B,,,,,,,,2918 KIPLING CT,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,1,2019-07-22,03-DEC-23,22-JUL-19,26-JUL-19,04-DEC-23,81,2019,Complaint
81,81,344182704,524500,,MIKE COADY,2940 N PEORIA RD.,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,D,C,B,,,,,,,,5606 WILLIAMSVILLE ROAD,SHERMAN,IL,62684,HOST_EST_KEY_VALUE,1,2019-07-22,03-DEC-23,22-JUL-19,26-JUL-19,04-DEC-23,82,2019,Complaint
82,82,344218060,524500,,SCOOTER'S LAWN CARE INC.,3805 N DIRKSEN,SPRINGFIELD,IL,62707,A,,N,H,,561730,B,B,I,B,,,,,,,,3805 N DIRKSEN PKWY,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,6,2019-08-08,03-DEC-23,08-AUG-19,07-MAY-20,04-DEC-23,83,2019,Complaint
83,83,344233366,524500,,"BURASKI BUILDERS, INC",SOUTH GRAND AVE AND WIGGINS ST.,SPRINGFIELD,IL,62701,A,,N,S,,236115,B,B,I,B,,,,,,,,3757 S. 6TH ST.,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,28,2019-08-15,03-DEC-23,15-AUG-19,25-OCT-19,04-DEC-23,84,2019,Complaint
84,84,344265400,524500,,UNKNOWN CONTRACTOR,3133 S DIRKSEN PARKWAY,SPRINGFIELD,IL,62704,A,,N,S,,236210,B,D,C,B,,,,,,,,3133 S DIRKSEN PARKWAY,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,0,2019-08-22,03-DEC-23,22-AUG-19,22-AUG-19,04-DEC-23,85,2019,Complaint
85,85,344255716,521700,,"ARENA FOOD SERVICE, INC.","993 CLOCKTOWER DRIVE, SUITE D",SPRINGFIELD,IL,62704,A,,N,S,,722310,C,B,I,B,,,,,,,,1 VETERANS DRIVE,MANTENO,IL,60950,HOST_EST_KEY_VALUE,60,2019-08-23,03-DEC-23,23-AUG-19,06-DEC-19,04-DEC-23,86,2019,Referral
86,86,344272877,524500,,"MATCHLESS ROOFING, LLC",2700 S. MACARTHUR BLVD.,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,B,I,B,,,,,,,,5372 LANFORD SPRINGS CT.  SW,LILBURN,GA,30047,HOST_EST_KEY_VALUE,5,2019-08-29,03-DEC-23,29-AUG-19,24-SEP-19,04-DEC-23,87,2019,Complaint
87,87,344296371,524500,,"NIEMANN FOODS, INC.",1903 W MONROE STREET,SPRINGFIELD,IL,62704,A,,N,S,,445110,M,B,I,B,,,,,,,,1903 W MONROE STREET,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,130,2019-09-10,03-DEC-23,10-SEP-19,04-OCT-19,04-DEC-23,88,2019,M
88,88,344322771,524500,,B & H ROOFING,ASH GROVE APARTMENTS ASH GROVE DR.,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,D,C,B,,,,,,,,306 MELODY LN,VIRDEN,IL,62690,HOST_EST_KEY_VALUE,0,2019-09-20,03-DEC-23,20-SEP-19,23-SEP-19,04-DEC-23,89,2019,Complaint
89,89,344377007,524500,,HENSON ROBINSON COMPANY,2201 TORONTO RD.,SPRINGFIELD,IL,62712,A,,N,S,,238160,C,B,I,A,,,,,,,,3550 GREAT NORTHERN AVE,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,13,2019-10-09,03-DEC-23,09-OCT-19,18-DEC-19,04-DEC-23,90,2019,Referral
90,90,344431366,524500,,BRANDON TEDRICK,3201 OLD JACKSONVILLE ROAD,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,B,I,B,,,,,,,,2110 N. REPUBLIC,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,5,2019-11-06,03-DEC-23,06-NOV-19,18-MAR-20,04-DEC-23,91,2019,Complaint
91,91,344437744,524500,,"CAST INDUSTRIES, INC.",580 NORTH ST.,SPRINGFIELD,IL,62704,A,,N,H,,339920,B,B,I,B,,,,,,,,580 NORTH ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,64,2019-11-08,03-DEC-23,08-NOV-19,11-MAR-21,04-DEC-23,92,2019,Complaint
92,92,344459532,524500,,UNKNOWN CONTRACTOR,3151 DIRKSEN PKY (CAPITAL CITY SHOPPING CENTER),SPRINGFIELD,IL,62703,A,,N,S,,238160,B,D,C,B,,,,,,,,3151 DIRKSEN PKY (CAPITAL CITY SHOPPING CENTER),SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,2019-11-18,03-DEC-23,18-NOV-19,18-NOV-19,04-DEC-23,93,2019,Complaint
93,93,344459730,524500,,"JACKSONVILLE INSULATION & CONSTRUCTION, INC.",800 HAZEL DELL ROAD A1 U-STORE-IT SELF STORAGE,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,B,I,B,,,,,,,,2018 SOUTHBROOKE ROAD,JACKSONVILLE,IL,62650,HOST_EST_KEY_VALUE,13,2019-11-18,03-DEC-23,18-NOV-19,11-MAR-20,04-DEC-23,94,2019,Complaint
94,94,344560032,524500,,"NEGRO NEST, LLC DBA SERVPRO OF SPRINGFIELD",3750 LUMBER RD,SPRINGFIELD,IL,62707,A,,N,H,,562910,B,B,I,B,,,,,,,,2450 COLT RD,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,26,2020-01-15,03-DEC-23,15-JAN-20,29-MAY-20,04-DEC-23,95,2020,Complaint
95,95,344560065,524500,,"NEGRO NEST, LLC DBA SERVPRO OF SPRINGFIELD",2450 COLT RD,SPRINGFIELD,IL,62707,A,,N,S,,562910,B,B,I,B,,,,,,,,2450 COLT RD,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,26,2020-01-15,03-DEC-23,15-JAN-20,29-MAY-20,04-DEC-23,96,2020,Complaint
96,96,344625827,524500,,HART - CLAYTON INC.,2000 E CORNELL AVE,SPRINGFIELD,IL,62703,A,,N,S,,321920,H,B,I,B,,,,,,,,2000 E CORNELL AVE,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,26,2020-02-05,03-DEC-23,05-FEB-20,06-AUG-20,04-DEC-23,97,2020,Planned
97,97,344625744,524500,,"BLACKHAWK ROOFING, LLC",5TH AND WASHINGTON,SPRINGFIELD,IL,62711,A,,N,S,,238160,B,D,C,B,,,,,,,,4208 SOUTHWOODS RD,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,0,2020-02-05,03-DEC-23,05-FEB-20,06-FEB-20,04-DEC-23,98,2020,Complaint
98,98,344661145,524500,,O'DELL TRUCKING INCORPORATED,CORNER 4TH AND CARPENTER STREET,SPRINGFIELD,IL,62703,A,,N,S,,484220,I,B,I,B,,,,,,,,1736 S. CAMP BUTLER ROAD,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,16,2020-02-11,03-DEC-23,26-FEB-20,06-MAY-20,04-DEC-23,99,2020,Programmed Related
99,99,344627195,524500,,"HAROLD O'SHEA BUILDERS, INC.",701 SOUTH 4TH STREET,SPRINGFIELD,IL,62703,A,,N,S,,236210,H,B,I,A,,,,,,,,3401 CONSTITUTION DRIVE,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,350,2020-02-11,03-DEC-23,11-FEB-20,07-AUG-20,04-DEC-23,100,2020,Planned
100,100,344625124,524500,,DAN GARREN DBA CYDE ENTERPRISES,112 W. COOK,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,B,I,B,,,,,,,,P.O. BOX 146,TAYLORVILLE,IL,62568,HOST_EST_KEY_VALUE,6,2020-02-11,03-DEC-23,11-FEB-20,24-FEB-22,04-DEC-23,101,2020,Complaint
101,101,344625447,524500,,"BLACKHAWK ROOFING, LLC",1712 S. WHITTIER,SPRINGFIELD,IL,62704,A,,N,S,,238160,B,B,I,B,,,,,,,,4208 SOUTHWOODS RD,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,7,2020-02-11,03-DEC-23,11-FEB-20,07-JUL-21,04-DEC-23,102,2020,Complaint
102,102,344623335,524500,,"PALLET WORLD, LLC",1650 N 14TH ST.,SPRINGFIELD,IL,62702,A,,N,S,,321920,H,B,I,B,,,,,,,,1650 N 14TH ST.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,1,2020-02-12,03-DEC-23,30-APR-20,07-APR-23,04-DEC-23,103,2020,Planned
103,103,344693239,524500,,"CAPITOL ROOFING SOLUTIONS, L.L.C.",2809 N. DIRKSEN PARKWAY,SPRINGFIELD,IL,62702,A,,N,S,,238160,B,B,I,B,,,,,,,,2425 AMANN DRIVE,BELLEVILLE,IL,62221,HOST_EST_KEY_VALUE,6,2020-03-12,03-DEC-23,12-MAR-20,11-APR-22,04-DEC-23,104,2020,Complaint
104,104,344756309,524500,,"SOLOMON COLORS, INC.",4050 NORTH COLOR PLANT RD,SPRINGFIELD,IL,62702,A,,N,S,,325131,C,B,I,B,,,,,,,,4050 NORTH COLOR PLANT RD,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,100,2020-05-19,03-DEC-23,19-MAY-20,13-JAN-21,04-DEC-23,105,2020,Referral
105,105,344757729,524500,,"EXPRESS SERVICES, INC. DBA EXPRESS EMPLOYMENT PROFESSIONALS",4050 WATER WORKS RD,SPRINGFIELD,IL,62702,A,,N,S,,325130,G,B,I,B,,,,,,,,3000 PROFESSIONAL DR,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,10,2020-05-19,03-DEC-23,19-MAY-20,21-AUG-20,04-DEC-23,106,2020,Unprogrammed Related
106,106,344789110,524500,,UNKNOWN CONTRACTOR,1222 W MONROE STREET,SPRINGFIELD,IL,62715,A,,N,S,,238160,B,D,C,B,,,,,,,,1222 W MONROE STREET,SPRINGFIELD,IL,62715,HOST_EST_KEY_VALUE,0,2020-06-11,03-DEC-23,11-JUN-20,11-JUN-20,04-DEC-23,107,2020,Complaint
107,107,344846605,524500,,JAREN INDUSTRIES INCORPORATED,6868 PEC ROAD,SPRINGFIELD,IL,62711,A,,N,S,,238910,B,D,C,B,,,,,,,,6868 PEC ROAD,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,0,2020-07-20,03-DEC-23,20-JUL-20,20-JUL-20,04-DEC-23,108,2020,Complaint
108,108,344926985,524500,,"DBS GROUP, LLC",3001 S VETERANS PKWY,SPRINGFIELD,IL,62704,A,,N,S,,236220,B,B,I,B,,,,,,,,2700 NATIONAL DRIVE #101,ONALASKA,WI,54650,HOST_EST_KEY_VALUE,1,2020-08-12,03-DEC-23,12-AUG-20,28-OCT-20,04-DEC-23,109,2020,Complaint
109,109,344884523,524500,,UNKNOWN CONTRACTOR,4700 BLOCK OF W WABASH,SPRINGFIELD,IL,62711,A,,N,S,,236220,B,D,C,B,,,,,,,,4700 BLOCK OF W WABASH,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,0,2020-08-17,03-DEC-23,17-AUG-20,26-AUG-20,04-DEC-23,110,2020,Complaint
110,110,344899562,524500,,SAM'S ITALIAN PIZZA INC.,731 N. GRAND AVE E.,SPRINGFIELD,IL,62702,A,,N,S,,722211,B,B,I,B,,,,,,,,731 N. GRAND AVE E.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,3,2020-08-26,03-DEC-23,24-SEP-20,30-SEP-20,04-DEC-23,111,2020,Complaint
111,111,344936679,524500,,"CAST INDUSTRIES, INC.",580 NORTH ST.,SPRINGFIELD,IL,62704,A,,N,H,,339920,B,B,I,B,,,,,,,,580 NORTH ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,75,2020-09-21,03-DEC-23,21-SEP-20,26-FEB-21,04-DEC-23,112,2020,Complaint
112,112,344941364,524500,,VANDENBERGH EXCAVATING LLC,534 NORTH GRAND AVE. WEST,SPRINGFIELD,IL,62702,A,,N,S,,237110,B,D,I,B,,,,,,,,1289 CANNON ROAD,ASHLAND,IL,62612,HOST_EST_KEY_VALUE,1,2020-09-23,03-DEC-23,23-SEP-20,09-OCT-20,04-DEC-23,113,2020,Complaint
113,113,344974225,524500,,BENJIE HOLMES,4319 YUCAN DRIVE,SPRINGFIELD,IL,62711,A,,N,S,,238130,B,B,I,B,,,,,,,,100 S. STOWE STREET,VIRGINIA,IL,62691,HOST_EST_KEY_VALUE,4,2020-10-08,03-DEC-23,08-OCT-20,23-FEB-21,04-DEC-23,114,2020,Complaint
114,114,344990916,551702,,IL DEPT. OF PUBLIC HEALTH - SPRINGFIELD,525-535 WEST JEFFERSON,SPRINGFIELD,IL,62761,C,,N,H,,921190,B,B,I,A,,,,,,,,525-535 WEST JEFFERSON ST. ATTN:  DR. NGOZI EZIKE - DIRECTOR,SPRINGFIELD,IL,62761,HOST_EST_KEY_VALUE,531,2020-10-27,03-DEC-23,27-OCT-20,22-JAN-21,04-DEC-23,115,2020,Complaint
115,115,344999495,551702,,IL SECRETARY OF STATE - HOWLETT BLDG,501 S 2ND ST,SPRINGFIELD,IL,62756,C,,N,H,,921190,B,B,I,A,,,,,,,,213 STATE CAPITOL ATTN:  MR. JESSE WHITE - SECRETARY OF STATE,SPRINGFIELD,IL,62756,HOST_EST_KEY_VALUE,800,2020-10-28,03-DEC-23,28-OCT-20,01-DEC-20,04-DEC-23,116,2020,Complaint
116,116,345019533,524500,,CHASTELLOS ROOFING,722 S 12TH ST.,SPRINGFIELD,IL,62703,A,,N,S,,238160,B,D,C,B,,,,,,,,722 S 12TH ST.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,0,2020-10-29,03-DEC-23,29-OCT-20,29-OCT-20,04-DEC-23,117,2020,Complaint
117,117,345046551,524500,,"SPRINGFIELD CARE CENTER, LLC",525 S. MARTIN LUTHER KING DR.,SPRINGFIELD,IL,62703,A,,N,H,,623110,M,B,I,B,,,,,,,,525 S MARTIN LUTHER KING DR,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,47,2020-12-03,03-DEC-23,27-APR-21,11-JUN-21,04-DEC-23,118,2020,M
118,118,345074272,524500,,LEWIS MEMORIAL CHRISTIAN VILLAGE,3400 WEST WASHINGTON,SPRINGFIELD,IL,62711,A,,N,H,,623110,C,B,I,B,,,,,,,,3400 WEST WASHINGTON,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,226,2020-12-10,03-DEC-23,02-FEB-21,11-JUN-21,04-DEC-23,119,2020,Referral
119,119,345077184,524500,,UNKNOWN CONTRACTOR,2873 N DIRKSEN PKWY,SPRINGFIELD,IL,62702,A,,N,S,,238990,B,D,C,B,,,,,,,,2873 N DIRKSEN PKWY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,1,2020-12-22,03-DEC-23,,23-DEC-20,04-DEC-23,120,2020,Complaint
120,120,345085245,524500,,VINCE HUTCHENS,2873 N. DIRKSEN PARKWAY,SPRINGFIELD,IL,62702,A,,N,S,,238910,B,B,I,B,,,,,,,,701 N. 17TH ST.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,3,2021-01-05,03-DEC-23,05-JAN-21,,04-DEC-23,121,2021,Complaint
121,121,345146245,524500,,UNITED STATES POSTAL SERVICE,3013 FOX BRIDGE ROAD,SPRINGFIELD,IL,62703,A,,N,S,,491110,C,B,I,A,,,,,,,,1921 E SANGAMON AVE,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,672373,2021-02-12,03-DEC-23,12-FEB-21,10-JUN-21,04-DEC-23,122,2021,Referral
122,122,345176036,524500,,"GARNEAU CONSTRUCTION, INC.",WALTON DR. AND N. DIRKSEN PKWY,SPRINGFIELD,IL,62702,A,,N,S,,238140,B,B,I,B,,,,,,,,21774 E 1300 N RD,BLOOMINGTON,IL,61705,HOST_EST_KEY_VALUE,11,2021-03-04,03-DEC-23,04-MAR-21,29-JUN-21,04-DEC-23,123,2021,Complaint
123,123,345198402,524500,,CAVALIER CARTAGE CO.,4840 JEFFORY STREET,SPRINGFIELD,IL,62703,A,,N,S,,484110,C,B,I,B,,,,,,,,4840 JEFFORY STREET,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,12,2021-03-16,03-DEC-23,09-AUG-21,15-SEP-22,04-DEC-23,124,2021,Referral
124,124,345198436,524500,,"UNITED PARCEL SERVICE, INC.",3149 WIDE TRACK DR.,SPRINGFIELD,IL,62703,A,,N,S,,492110,D,B,I,A,,,,,,,,3149 WIDE TRACK DR.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,167,2021-03-16,03-DEC-23,23-APR-21,26-APR-21,04-DEC-23,125,2021,Monitoring
125,125,345262349,524500,,RESTAURANT EQUIPMENT SERVICE GROUP LLC,2318 WABASH AVE,SPRINGFIELD,IL,62704,A,,N,S,,238220,C,B,I,B,,,,,,,,200 COLLINSVILLE ROAD,TROY,IL,62294,HOST_EST_KEY_VALUE,36,2021-03-26,03-DEC-23,26-MAR-21,02-JUL-21,04-DEC-23,126,2021,Referral
126,126,345278477,524500,,"JOYNER CONSTRUCTION SERVICES, INC.",4640 ASH GROVE DRIVE,SPRINGFIELD,IL,62711,A,,N,S,,236116,B,D,C,B,,,,,,,,4003 YUCAN DRIVE,SPRINGFIELD,IL,62711,HOST_EST_KEY_VALUE,0,2021-04-21,03-DEC-23,21-APR-21,21-APR-21,04-DEC-23,127,2021,Complaint
127,127,345281869,524500,,UNITED STATES POSTAL SERVICE,1927 E. SANGAMON AVE.,SPRINGFIELD,IL,62702,A,,N,H,,491110,B,B,I,B,,,,,,,,1927 E. SANGAMON AVE.,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,50,2021-04-27,03-DEC-23,27-APR-21,20-MAY-21,04-DEC-23,128,2021,Complaint
128,128,345290381,524500,,"WALKER BUILDERS, LLC",4640 ASH GROVE DR.,SPRINGFIELD,IL,62711,A,,N,S,,236116,B,B,I,B,,,,,,,,914 W. MARKET ST.,TAYLORVILLE,IL,62568,HOST_EST_KEY_VALUE,5,2021-05-05,03-DEC-23,05-MAY-21,,04-DEC-23,129,2021,Complaint
129,129,345289136,524500,,JONES LANG LASALLE INC.,313 S. 6TH ST.,SPRINGFIELD,IL,62701,A,,N,S,,531210,B,B,I,B,,,,,,,,200 EAST RANDOLPH ST.,CHICAGO,IL,60601,HOST_EST_KEY_VALUE,2,2021-05-05,03-DEC-23,01-SEP-21,01-NOV-21,04-DEC-23,130,2021,Complaint
130,130,345291777,524500,,"TERRY BROWN EXCAVATING, INC.",3184 DIRKSEN PARKWAY,SPRINGFIELD,IL,62703,A,,N,S,,237110,B,D,C,B,,,,,,,,322 WILLIAMS LANE,CHATHAM,IL,62629,HOST_EST_KEY_VALUE,1,2021-05-06,03-DEC-23,06-MAY-21,22-JUN-21,04-DEC-23,131,2021,Complaint
131,131,345331268,524500,,"TRI MURTI GROUP, LLC",1701 J DAVID JONES PARKWAY,SPRINGFIELD,IL,62702,A,,N,H,,721110,B,B,I,B,,,,,,,,1701 J DAVID JONES PARKWAY,SPRINGFIELD,IL,62702,HOST_EST_KEY_VALUE,6,2021-05-24,03-DEC-23,,,04-DEC-23,132,2021,Complaint
132,132,345339444,551702,,IL SECRETARY OF STATE - 316 KLEIN STREET PAINT SHOP,316 N KLEIN STREET,SPRINGFIELD,IL,62702,C,,N,H,,238320,B,B,I,A,,,,,,,,213 STATE CAPITOL ATTN:  MR. JESSE WHITE - SECRETARY OF STATE,SPRINGFIELD,IL,62756,HOST_EST_KEY_VALUE,28,2021-06-02,03-DEC-23,02-JUN-21,19-AUG-21,04-DEC-23,133,2021,Complaint
133,133,345360317,551702,,CITY OF SPRINGFIELD - CWLP,1013 REYNOLDS STREET,SPRINGFIELD,IL,62702,B,,Y,H,,221121,M,B,I,A,,,,,,,,800 E MONROE STREET ATTN:  MR. JAMES O. LANGFELDER - MAYOR,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,523,2021-06-07,03-DEC-23,07-JUN-21,13-OCT-21,04-DEC-23,134,2021,M
134,134,345388052,551702,,CITY OF SPRINGFIELD - CWLP,1600 GROTH STREET,SPRINGFIELD,IL,62712,B,,Y,S,,221121,M,B,I,A,,,,,,,,800 E MONROE ATTN:  MR. JAMES O. LANGFELDER - MAYOR,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,523,2021-06-24,03-DEC-23,24-JUN-21,06-AUG-21,04-DEC-23,135,2021,M
135,135,345425276,524500,,E.L. PRUITT COMPANY,2850 CIDER MILL LANE,SPRINGFIELD,IL,62702,A,,N,S,,238220,C,B,I,A,,,,,,,,3090 COLT ROAD,SPRINGFIELD,IL,62707,HOST_EST_KEY_VALUE,173,2021-07-14,03-DEC-23,14-JUL-21,01-DEC-21,04-DEC-23,136,2021,Referral
136,136,345484885,524500,,KONE INC.,313 S. 6TH ST.,SPRINGFIELD,IL,62701,A,,N,S,,811310,G,B,I,A,,,,,,,,2908 OLD ROCHESTER RD.,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,50,2021-08-19,03-DEC-23,21-OCT-21,25-OCT-21,04-DEC-23,137,2021,Unprogrammed Related
137,137,345507545,524500,,BERG & ROBESON PC,1217 SOUTH 6TH STREET,SPRINGFIELD,IL,62703,A,,N,H,,541110,B,B,I,B,,,,,,,,1217 SOUTH 6TH STREET,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,2,2021-08-30,03-DEC-23,30-AUG-21,14-JAN-22,04-DEC-23,138,2021,Complaint
138,138,345507503,524500,,"CAST INDUSTRIES, INC.",580 NORTH ST.,SPRINGFIELD,IL,62704,A,,N,H,,339920,C,B,I,B,,,,,,,,580 NORTH ST.,SPRINGFIELD,IL,62704,HOST_EST_KEY_VALUE,45,2021-08-31,03-DEC-23,31-AUG-21,24-JUN-22,04-DEC-23,139,2021,Referral
139,139,345511570,524500,,LINCOLN PRAIRIE BEHAVIORAL HEALTH CENTER,5230 S 6TH STREET ROAD,SPRINGFIELD,IL,62703,A,,N,H,,621112,B,B,I,B,,,,,,,,5230 S 6TH STREET ROAD,SPRINGFIELD,IL,62703,HOST_EST_KEY_VALUE,246,2021-09-01,03-DEC-23,01-SEP-21,15-FEB-23,04-DEC-23,140,2021,Complaint
140,140,345518096,551702,,CITY OF SPRINGFIELD - CWLP - DALLMAN POWERPLANT,3100 STEVENSON DRIVE,SPRINGFIELD,IL,62703,B,,N,S,,221112,B,B,I,A,,,,,,,,800 EAST MONROE ST. ATTN:  MR. JAMES O. LANGFELDER - MAYOR,SPRINGFIELD,IL,62701,HOST_EST_KEY_VALUE,130,2021-09-07,03-DEC-23,07-SEP-21,08-DEC-21,04-DEC-23,141,2021,Complaint
